comparison_group,interval_ms,interval_s,n_control,n_telemetry,n_pairs,control_mean_latency_ms,telemetry_mean_latency_ms,paired_delta_latency_ms,paired_std_delta_latency_ms,control_mean_power_mW,control_std_power_mW,telemetry_mean_power_mW,telemetry_std_power_mW,delta_mean_power_mW,paired_delta_mean_power_mW,paired_std_delta_mean_power_mW,paired_ci95_delta_mean_power_mW_low,paired_ci95_delta_mean_power_mW_high,paired_t_p_delta_mean_power_mW_two_sided,paired_t_p_delta_mean_power_mW_greater,wilcoxon_p_delta_mean_power_mW_two_sided,wilcoxon_p_delta_mean_power_mW_greater,delta_total_per_event_mJ,paired_delta_total_per_event_mJ,paired_std_delta_total_per_event_mJ,paired_ci95_delta_total_per_event_mJ_low,paired_ci95_delta_total_per_event_mJ_high,paired_t_p_delta_total_per_event_mJ_two_sided,paired_t_p_delta_total_per_event_mJ_greater,wilcoxon_p_delta_total_per_event_mJ_two_sided,wilcoxon_p_delta_total_per_event_mJ_greater,snr_vs_control_std,detectable_abs_snr_ge_1,paired_snr,paired_energy_snr,paired_ci_crosses_zero,paired_energy_ci_crosses_zero,interpretation_label,control_jitter_ms,telemetry_jitter_ms,paired_delta_jitter_ms,control_reliability_rate,telemetry_reliability_rate,paired_delta_reliability_rate
W2_0.5s,500,0.5,12,12,12,,,,,373.23844210847443,4.405438079363081,374.7103629742763,3.2343346963304027,1.4719208658018488,1.4719208658017777,2.51752733131539,-0.12763968753610588,3.071481419139661,0.06778999116079118,0.03389499558039559,0.0771484375,0.03857421875,0.759746813912443,0.7597468139124572,1.358009084675969,-0.10309099360687468,1.6225846214317892,0.07870698628163195,0.03935349314081597,0.10986328125,0.054931640625,0.33411452829105537,False,0.5846692695219756,0.5594563559887661,True,True,below_noise_floor,0.4413403516850349,0.43886527103362566,-0.002475080651409218,1.0,1.0,0.0
W2_1s,1000,1.0,12,12,12,,,,,373.21010015046863,5.547600698296864,379.4718384541507,6.265483007854658,6.26173830368208,6.261738303682051,6.225299186387298,2.306371906103085,10.217104701261018,0.005108892965886404,0.002554446482943202,0.00244140625,0.001220703125,6.348903436549563,6.348903436549591,6.369608048149093,2.3018475625943546,10.395959310504828,0.005400912667951446,0.002700456333975723,0.00341796875,0.001708984375,1.1287290928498979,True,1.0058533921348605,0.9967494685005747,False,False,formal_positive_signal,0.5737565515004159,0.5726462205923273,-0.0011103309080885704,1.0,1.0,0.0
W2_2s,2000,2.0,12,12,12,,,,,373.8238503016648,4.1367822737656725,381.60420362211715,6.4489306826277035,7.780353320452377,7.780353320452392,8.76175291854287,2.2134011081514684,13.347305532753314,0.010544660297133959,0.0052723301485669795,0.02099609375,0.010498046875,16.34461464470212,16.344614644702016,19.665694187779536,3.8496286775218884,28.839600611882144,0.014995537384521225,0.007497768692260613,0.02099609375,0.010498046875,1.8807741876562427,True,0.8879904960554753,0.8311231980236288,False,False,formal_positive_signal,0.8135474689250047,0.7914855819117506,-0.02206188701325415,1.0,1.0,0.0
W2_3s,3000,3.0,12,12,12,,,,,373.49554604627764,5.910664850191195,378.48501378605766,5.5492780615253094,4.989467739780025,4.989467739780149,7.501492875952869,0.22324655669177051,9.755688922868526,0.04173142992453967,0.020865714962269834,0.02685546875,0.013427734375,15.87936277972517,15.879362779724923,22.987110006848063,1.2740498820965147,30.48467567735333,0.03567278381662173,0.017836391908310864,0.02099609375,0.010498046875,0.844146617384105,False,0.6651299710987684,0.6907942222834589,False,False,formal_positive_signal,0.9582543697321776,0.963734701214564,0.005480331482386174,1.0,1.0,0.0
W2_4s,4000,4.0,12,12,12,,,,,372.65424219558605,3.176014374271374,379.38702482510683,6.625023334867796,6.732782629520784,6.732782629520723,4.701167075463559,3.745803574706137,9.719761684335309,0.0004280297267947984,0.0002140148633973992,0.0009765625,0.00048828125,31.566050758728124,31.56605075872797,17.33217794505618,20.553710277062095,42.57839124039385,5.764929388093069e-05,2.8824646940465344e-05,0.00048828125,0.000244140625,2.1198841806455575,True,1.4321513193310274,1.821239711408101,False,False,formal_positive_signal,1.099324123223702,1.0963619651037861,-0.002962158119915867,1.0,1.0,0.0
W2_5s,5000,5.0,12,12,12,,,,,373.932145837839,4.489649011036833,374.9548965301315,3.7651930597207457,1.0227506922925045,1.0227506922925993,5.5966432271776325,-2.5331867650463558,4.578688149631554,0.5396435202660376,0.2698217601330188,0.2333984375,0.11669921875,12.559845840358776,12.559845840358605,35.24422860327486,-9.833268667425315,34.952960348142526,0.2427429941505067,0.12137149707525335,0.20361328125,0.101806640625,0.22780192611455655,False,0.18274359303913837,0.356366030357423,True,True,below_noise_floor,1.2432707544123371,1.2321093605456443,-0.011161393866692881,1.0,1.0,0.0
W2_6s,6000,6.0,12,12,12,,,,,373.66652548814096,6.091748769124113,377.45591044313824,7.70585365262212,3.7893849549972742,3.7893849549972507,6.198423500381916,-0.14890544636774727,7.727675356362249,0.05779344626224572,0.02889672313112286,0.05224609375,0.026123046875,26.202545299549456,26.202545299549797,54.52355912355445,-8.44007141279986,60.845162011899454,0.12415605124616261,0.062078025623081304,0.12939453125,0.064697265625,0.6220520738155986,False,0.6113465713925109,0.48057290684514703,True,True,below_noise_floor,1.350466880173937,1.3434080734436524,-0.007058806730284878,1.0,1.0,0.0
W2_7s,7000,7.0,17,17,17,,,,,372.7016370422465,4.443062840501619,377.63919345389667,5.107162936137942,4.937556411650178,4.9375564116501645,5.08178333674432,2.324744516140336,7.550368307159992,0.0010189026196086514,0.0005094513098043257,0.001068115234375,0.0005340576171875,34.36511182476352,34.36511182476338,35.203575499513484,16.26510347443985,52.46512017508691,0.0009793965521734031,0.0004896982760867016,0.001068115234375,0.0005340576171875,1.1112956509732217,True,0.971618836235833,0.9761824285501429,False,False,formal_positive_signal,1.4349603473191634,1.3665392866864248,-0.06842106063273855,1.0,1.0,0.0
W2_8s,8000,8.0,17,17,17,,,,,373.94776706298023,5.527478851572199,378.0741335105537,5.563858177752341,4.126366447573446,4.126366447573406,4.651450927119465,1.7348110607307827,6.517921834416029,0.0021240505565487916,0.0010620252782743958,0.001678466796875,0.0008392333984375,32.80343057056234,32.803430570562504,36.81956365046254,13.872557780727536,51.734303360397476,0.002054726091967136,0.001027363045983568,0.001678466796875,0.0008392333984375,0.746518721894299,False,0.8871138301202649,0.8909239360350327,False,False,formal_positive_signal,1.5100664546816558,1.4330346921562747,-0.077031762525381,1.0,1.0,0.0
W2_9s,9000,9.0,17,17,17,,,,,375.25008771160867,6.710522103547871,379.31301810706924,6.705550915048789,4.062930395460569,4.062930395460609,6.072910403890972,0.9405279842989258,7.1853328066222915,0.013988531498139025,0.0069942657490695125,0.030517578125,0.0152587890625,36.14005104151374,36.14005104151412,53.94034898693554,8.406482697117067,63.87361938591117,0.013873311276036932,0.006936655638018466,0.030517578125,0.0152587890625,0.605456674274642,False,0.669025249056441,0.6700003192464942,False,False,formal_positive_signal,1.50309600898017,1.5018657855160256,-0.0012302234641441534,1.0,1.0,0.0
W2_10s,10000,10.0,18,18,18,,,,,374.510586645304,6.923710762261212,380.69456488246374,8.640660625711716,6.183978237159749,6.183978237159711,6.846659278815244,2.7792146788371124,9.58874179548231,0.0013348243301187777,0.0006674121650593888,0.0005340576171875,0.00026702880859375,57.863114898725144,57.863114898725094,102.63373017975552,6.82456162180285,108.90166817564733,0.028589297851738096,0.014294648925869048,0.04827880859375,0.024139404296875,0.8931595281054355,False,0.9032110384540409,0.5637826355661248,False,False,formal_positive_signal,1.3584097719388917,1.4767020612691675,0.1182922893302759,1.0,1.0,0.0
