run_id,date,comparison_group,ap_channel,ap_width_mhz,target_ble_adv_channel,target_ble_adv_freq,load_level,run_type,replicate_id,raw_run_id,status,exit_code,expected_events,captured_events,missing_events,missing_sequences,drop_rate,p95_latency_ms,mad_latency_ms,mean_latency_ms,p99_latency_ms,max_latency_ms,iperf_mean_mbps
R660,02/05/2026,W3_ble_ap_ch1_20mhz,1,20,37,2402 MHz,baseline,baseline,rep1,W3_ble_auto_baseline,complete,0,100,100,0,,0.0,146.6345336914062,81.940185546875,-0.1647509765625,306.1759692382813,313.445556640625,
R661,02/05/2026,W3_ble_ap_ch1_20mhz,1,20,37,2402 MHz,heavy,load,rep1,W3_ble_auto_heavy,complete,0,100,99,1,40,0.01,138.01362304687498,87.261962890625,0.954949889520202,313.2318994140624,329.069091796875,49.99647696476965
R662,02/05/2026,W3_ble_ap_ch1_20mhz,1,20,37,2402 MHz,baseline,baseline,rep2,W3_ble_auto_baseline,complete,0,100,98,2,"27,56",0.02,171.81771240234374,90.4833984375,23.852865413743622,356.48539062500004,368.651123046875,
R663,02/05/2026,W3_ble_ap_ch1_20mhz,1,20,37,2402 MHz,heavy,load,rep2,W3_ble_auto_heavy,complete,0,100,98,2,"22,26",0.02,125.9540649414062,82.72802734375,-12.66457818478954,134.1561328125,139.69384765625,49.99512195121951
R664,02/05/2026,W3_ble_ap_ch1_20mhz,1,20,37,2402 MHz,baseline,baseline,rep3,W3_ble_auto_baseline,complete,0,100,98,2,"28,52",0.02,179.92226562499945,82.9359130859375,4.220782844387755,316.0677905273438,325.087890625,
R665,02/05/2026,W3_ble_ap_ch1_20mhz,1,20,37,2402 MHz,heavy,load,rep3,W3_ble_auto_heavy,complete,0,100,99,1,71,0.01,173.46179199218747,85.945068359375,24.702039930555557,319.2961376953125,320.240966796875,50.00216802168022
R666,02/05/2026,W3_ble_ap_ch6_20mhz,6,20,38,2426 MHz,baseline,baseline,rep1,W3_ble_auto_baseline,complete,0,100,100,0,,0.0,125.0462890625,84.675537109375,-8.94551025390625,147.02767822265704,302.763427734375,
R667,02/05/2026,W3_ble_ap_ch6_20mhz,6,20,38,2426 MHz,heavy,load,rep1,W3_ble_auto_heavy,complete,0,100,98,2,"17,77",0.02,177.3111450195312,84.8250732421875,23.409149792729593,313.9222778320313,357.367431640625,49.99620596205962
R668,02/05/2026,W3_ble_ap_ch6_20mhz,6,20,38,2426 MHz,baseline,baseline,rep2,W3_ble_auto_baseline,complete,0,100,99,1,11,0.01,147.87548828125,83.840087890625,2.2750478416982323,276.44605957031246,282.47607421875,
R669,02/05/2026,W3_ble_ap_ch6_20mhz,6,20,38,2426 MHz,heavy,load,rep2,W3_ble_auto_heavy,complete,0,100,99,1,43,0.01,137.522607421875,77.9609375,-8.858534071180555,219.45416503906247,227.304931640625,49.99728997289973
R670,02/05/2026,W3_ble_ap_ch6_20mhz,6,20,38,2426 MHz,baseline,baseline,rep3,W3_ble_auto_baseline,complete,0,100,97,3,"38,83,84",0.03,161.33344726562487,83.38720703125,20.93799583199098,175.04532226562492,184.002197265625,
R671,02/05/2026,W3_ble_ap_ch6_20mhz,6,20,38,2426 MHz,heavy,load,rep3,W3_ble_auto_heavy,complete,0,100,99,1,11,0.01,136.14685058593747,81.786865234375,-10.649305555555555,150.71905761718745,165.281005859375,50.0
R672,02/05/2026,W3_ble_ap_ch13_20mhz,13,20,39,2480 MHz,baseline,baseline,rep1,W3_ble_auto_baseline,complete,0,100,94,6,"1,22,63,66,67,78",0.06,165.7274536132812,54.1455078125,18.501005132147608,277.06034179687435,364.517578125,
R673,02/05/2026,W3_ble_ap_ch13_20mhz,13,20,39,2480 MHz,heavy,load,rep1,W3_ble_auto_heavy,complete,0,100,100,0,,0.0,143.4835815429687,80.3365478515625,14.6593408203125,175.16205810546944,309.4208984375,50.00027100271003
R674,02/05/2026,W3_ble_ap_ch13_20mhz,13,20,39,2480 MHz,baseline,baseline,rep2,W3_ble_auto_baseline,complete,0,100,99,1,40,0.01,136.80407714843744,75.7900390625,-4.137520221748737,159.00791015624932,327.510009765625,
R675,02/05/2026,W3_ble_ap_ch13_20mhz,13,20,39,2480 MHz,heavy,load,rep2,W3_ble_auto_heavy,complete,0,100,98,2,"9,60",0.02,111.14550781249976,82.3375244140625,-8.553357182716837,189.87938232421885,282.158447265625,50.00108401084011
R676,02/05/2026,W3_ble_ap_ch13_20mhz,13,20,39,2480 MHz,baseline,baseline,rep3,W3_ble_auto_baseline,complete,0,100,100,0,,0.0,181.98048095703126,87.1768798828125,24.257275390625,274.79519287109423,363.718994140625,
R677,02/05/2026,W3_ble_ap_ch13_20mhz,13,20,39,2480 MHz,heavy,load,rep3,W3_ble_auto_heavy,complete,0,100,98,2,"39,72",0.02,171.75504150390626,91.8133544921875,21.529874840561224,303.26885253906255,354.46240234375,49.99891598915989
