protocol,load,runs,median_latency_ms,p95_latency_ms,mad_latency_ms,drop_rate,extra_event_rate,p95_pct_vs_baseline,mad_pct_vs_baseline
Wi-Fi,Baseline,"R600, R604, R608, R612, R616",13.239999999999998,19.83335,1.0512999999999997,0.0,0.0,0.0,0.0
Wi-Fi,Light,"R601, R605, R609, R613, R617",13.436499999999999,22.882549999999995,1.6055,0.0,0.0,15.374104727643065,52.71568534195762
Wi-Fi,Moderate,"R602, R606, R610, R614, R618",13.963799999999997,24.16568,1.9271999999999991,0.0,0.0,21.84366231625015,83.31589460667742
Wi-Fi,Heavy,"R603, R607, R611, R615, R619",15.6756,24.051449999999996,3.3819000000000004,0.014000000000000002,0.0,21.26771322040904,221.68743460477518
Zigbee,Baseline,"R620, R624, R628, R632, R636",-2.1316282072803005e-15,10.121377279999997,1.7875711999999986,0.0,0.0,0.0,0.0
Zigbee,Light,"R621, R625, R629, R633, R637",2.842170943040401e-15,10.966771200000002,1.9295743999999964,0.0,0.0,8.352558121418086,7.943918541538255
Zigbee,Moderate,"R622, R626, R630, R634, R638",-7.105427357601002e-16,10.186711039999997,2.218214400000001,0.0,0.008,0.6455026642381985,24.090967677259655
Zigbee,Heavy,"R623, R627, R631, R635, R639",0.0,10.726369279999997,2.0653055999999994,0.0,0.008,5.977368329065977,15.536969939994616
BLE,Baseline,"R640, R644, R648, R652, R656",0.0,210.29064697265608,89.33828125,0.024,0.0,0.0,0.0
BLE,Light,"R641, R645, R649, R653, R657",2.44140625e-05,173.7489379882812,78.7455078125,0.032,0.0,-17.376763784043312,-11.856925485120636
BLE,Moderate,"R642, R646, R650, R654, R658",0.0,169.6790258789062,75.30888671875,0.028000000000000004,0.0,-19.31213854652821,-15.703676335557432
BLE,Heavy,"R643, R647, R651, R655, R659",-4.8828125e-05,151.4665014648436,87.2828369140625,0.024,0.0,-27.97278260095959,-2.3007430937535465
