comparison_group,ap_channel,zigbee_exposure,replicate_id,baseline_run,heavy_run,baseline_p95_latency_ms,heavy_p95_latency_ms,p95_delta_ms,p95_delta_pct,baseline_mad_latency_ms,heavy_mad_latency_ms,mad_delta_ms,baseline_missing_events,heavy_missing_events,missing_delta,baseline_extra_events,heavy_extra_events,extra_delta,baseline_repeated_event_id_rows,heavy_repeated_event_id_rows,repeated_event_id_rows_delta,iperf_mean_mbps
W3_zigbee_ap_ch1_20mhz,1,control / non-overlap with Zigbee ch20,rep1,R678,R679,11.27895039997529,10.573939200051239,-0.7050111999240514,-6.250680913763003,1.474687999987509,1.5439360000018496,0.0692480000143405,0,0,0,0,2,2,0,2,2,50.00135869565217
W3_zigbee_ap_ch1_20mhz,1,control / non-overlap with Zigbee ch20,rep2,R680,R681,11.936204799992264,10.351590399982523,-1.584614400009741,-13.275697146305399,1.7291519999853335,1.2803840000124183,-0.4487679999729153,0,0,0,0,0,0,0,0,0,49.988586956521736
W3_zigbee_ap_ch1_20mhz,1,control / non-overlap with Zigbee ch20,rep3,R682,R683,11.208064000032026,9.776640000051701,-1.4314239999803249,-12.771376037612159,1.6961280000105035,1.8449919999984559,0.1488639999879524,0,0,0,0,0,0,0,0,0,49.99619565217391
W3_zigbee_ap_ch1_20mhz,1,control / non-overlap with Zigbee ch20,rep4,R684,R685,9.826137599995127,11.602265599969542,1.776127999974415,18.075545776758673,1.9409919999889098,1.5829760000342503,-0.3580159999546595,0,0,0,0,0,0,0,0,0,49.97445652173913
W3_zigbee_ap_ch1_20mhz,1,control / non-overlap with Zigbee ch20,rep5,R686,R687,9.565529600033187,9.590476800015312,0.024947199982124246,0.26080312356189556,1.8384640000003856,2.1800959999964107,0.3416319999960251,0,0,0,0,0,0,0,0,0,49.97744565217391
W3_zigbee_ap_ch9_20mhz,9,overlap with Zigbee ch20,rep1,R688,R689,10.303155200011679,11.265331200056243,0.9621760000445647,9.338653852787484,1.8810880000237375,1.979903999977978,0.0988159999542404,0,0,0,0,0,0,0,1,1,49.99375
W3_zigbee_ap_ch9_20mhz,9,overlap with Zigbee ch20,rep2,R690,R691,10.479590399973675,10.308902399984072,-0.17068799998960316,-1.6287659486198232,1.8200319999887142,1.8120960000087507,-0.007935999979963526,0,0,0,0,0,0,0,0,0,49.9883152173913
W3_zigbee_ap_ch9_20mhz,9,overlap with Zigbee ch20,rep3,R692,R693,9.67105280003161,10.551590399988346,0.8805375999567353,9.104878425995743,2.4500479999987874,2.618367999995826,0.1683199999970384,0,0,0,0,0,0,0,1,1,49.962228260869566
W3_zigbee_ap_ch9_20mhz,9,overlap with Zigbee ch20,rep4,R694,R695,8.479692800040358,10.646297599945683,2.1666047999053255,25.550510507821862,2.636543999949936,2.0573440000007395,-0.5791999999491964,0,0,0,0,4,4,0,4,4,50.004347826086956
W3_zigbee_ap_ch9_20mhz,9,overlap with Zigbee ch20,rep5,R696,R697,10.478720000010798,10.210687999957008,-0.2680320000537897,-2.5578696639810348,2.3509759999869857,2.6406399999686982,0.28966399998171255,0,0,0,0,0,0,0,0,0,49.99211956521739
